epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,382.693,1.26332,1.42522,0.18241,0.82767,0.94136,0.54815,0.62248,0.59189,0.3647,0.58947,0.63582,0.61479,0.41821,1.15546,1.11586,0.1024,0.71336,0.91813,0.0005545,0.0005545,0.0005545
92,387.032,1.25696,1.41671,0.19444,0.80677,0.94607,0.61024,0.60939,0.6126,0.3809,0.63942,0.6282,0.63307,0.43887,1.1236,1.0963,0.10518,0.7099,0.90878,0.00054955,0.00054955,0.00054955
93,391.538,1.24566,1.39697,0.17817,0.80566,0.92091,0.59129,0.62738,0.63459,0.39065,0.62505,0.63634,0.65164,0.44679,1.12488,1.11865,0.10022,0.71022,0.90862,0.0005446,0.0005446,0.0005446
94,395.299,1.18091,1.29497,0.18132,0.76387,0.924,0.58617,0.63512,0.6376,0.39801,0.64191,0.62039,0.66415,0.45885,1.10639,1.09026,0.10206,0.69954,0.90732,0.00053965,0.00053965,0.00053965
95,399.004,1.22296,1.33232,0.17624,0.80369,0.9109,0.58383,0.61335,0.63622,0.39842,0.64289,0.59135,0.66128,0.4584,1.11555,1.08528,0.1021,0.70498,0.91006,0.0005347,0.0005347,0.0005347
96,402.753,1.20987,1.34988,0.18011,0.79701,0.92608,0.6215,0.6172,0.6382,0.39399,0.63594,0.62577,0.65655,0.46197,1.1124,1.08343,0.10229,0.70026,0.90455,0.00052975,0.00052975,0.00052975
97,406.675,1.2362,1.32452,0.18284,0.78723,0.91054,0.57787,0.61508,0.63396,0.38763,0.59215,0.62123,0.64675,0.44924,1.11069,1.07076,0.09872,0.69096,0.90794,0.0005248,0.0005248,0.0005248
98,410.564,1.20787,1.3104,0.16974,0.786,0.91865,0.58019,0.61482,0.63826,0.40172,0.59516,0.62232,0.65425,0.4585,1.10631,1.07535,0.10074,0.69027,0.90368,0.00051985,0.00051985,0.00051985
99,414.215,1.1985,1.35823,0.18556,0.76249,0.91933,0.57394,0.62373,0.63193,0.39869,0.59166,0.63393,0.649,0.45561,1.12086,1.07929,0.101,0.691,0.90494,0.0005149,0.0005149,0.0005149
100,417.975,1.16762,1.29243,0.19301,0.74551,0.91155,0.53186,0.62922,0.61755,0.38836,0.55439,0.63367,0.63214,0.44051,1.10455,1.06421,0.09598,0.69097,0.90285,0.00050995,0.00050995,0.00050995
101,421.883,1.19549,1.26027,0.17282,0.75987,0.92094,0.55575,0.62644,0.6222,0.3956,0.57621,0.62905,0.63719,0.45424,1.10262,1.06083,0.09767,0.6856,0.90077,0.000505,0.000505,0.000505
102,425.609,1.18103,1.26382,0.1688,0.75322,0.9198,0.63714,0.61313,0.64331,0.40929,0.7318,0.5728,0.66458,0.46409,1.09752,1.06776,0.09185,0.69119,0.90311,0.00050005,0.00050005,0.00050005
103,429.399,1.22283,1.32748,0.17365,0.77641,0.90996,0.66705,0.61022,0.64192,0.40549,0.69004,0.61925,0.67613,0.47123,1.10824,1.07066,0.09228,0.69749,0.90502,0.0004951,0.0004951,0.0004951
104,433.174,1.18188,1.30668,0.16845,0.75784,0.90839,0.60299,0.66886,0.67853,0.43177,0.62032,0.67033,0.69902,0.49172,1.07447,1.04593,0.09379,0.6693,0.89941,0.00049015,0.00049015,0.00049015
105,437.422,1.17332,1.28614,0.16512,0.75116,0.91408,0.57278,0.6847,0.66874,0.42886,0.61263,0.67878,0.68638,0.47887,1.07431,1.0408,0.09214,0.66968,0.89701,0.0004852,0.0004852,0.0004852
106,441.318,1.15798,1.24133,0.16614,0.7301,0.91099,0.63377,0.61778,0.6737,0.43425,0.66489,0.62804,0.69497,0.49358,1.06205,1.02291,0.09135,0.67247,0.89506,0.00048025,0.00048025,0.00048025
107,445.243,1.20766,1.30921,0.1787,0.75815,0.90659,0.61289,0.62753,0.66388,0.43067,0.63717,0.63728,0.68541,0.48199,1.06955,1.03045,0.09127,0.67049,0.89294,0.0004753,0.0004753,0.0004753
108,448.947,1.19759,1.27826,0.16402,0.74688,0.90914,0.57922,0.67993,0.66171,0.42106,0.68332,0.62208,0.68593,0.47904,1.08009,1.0273,0.08717,0.66484,0.89961,0.00047035,0.00047035,0.00047035
109,452.899,1.15359,1.22856,0.16575,0.73608,0.91892,0.69301,0.60499,0.6706,0.4363,0.75542,0.61604,0.7006,0.4933,1.07583,1.02195,0.08916,0.66757,0.89902,0.0004654,0.0004654,0.0004654
110,456.688,1.18216,1.24707,0.17196,0.73501,0.90345,0.64656,0.67146,0.69204,0.44575,0.69,0.6644,0.71828,0.51124,1.05978,1.01553,0.08968,0.66239,0.89334,0.00046045,0.00046045,0.00046045
111,460.505,1.16639,1.24353,0.18112,0.73238,0.91142,0.63549,0.66593,0.68674,0.43941,0.66065,0.68207,0.70925,0.50213,1.05356,1.00918,0.08737,0.661,0.89198,0.0004555,0.0004555,0.0004555
112,464.36,1.14901,1.24581,0.17404,0.72023,0.91076,0.59305,0.68452,0.67263,0.42816,0.66965,0.63052,0.69219,0.48752,1.06173,1.01171,0.08794,0.66032,0.89237,0.00045055,0.00045055,0.00045055
113,468.413,1.14913,1.24249,0.16515,0.74006,0.90741,0.58112,0.68591,0.66182,0.43124,0.61097,0.68707,0.6948,0.48841,1.04939,1.00177,0.08517,0.65961,0.89282,0.0004456,0.0004456,0.0004456
114,472.677,1.18575,1.23022,0.16213,0.74219,0.91218,0.60123,0.69989,0.67451,0.43401,0.62126,0.71108,0.71075,0.50369,1.06787,0.99473,0.0856,0.66245,0.89138,0.00044065,0.00044065,0.00044065
